Customers_Id,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,DaysSinceLastActivity,Churn
CUST011,2023-06-04 19:45:33-05:30,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability,11,0
CUST012,2023-06-04 19:48:31-05:30,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy,11,0
CUST013,2023-06-04 20:00:11-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy,11,0
CUST014,2023-06-04 20:01:45-05:30,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,11,0
CUST015,2023-06-04 20:02:28-05:30,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,11,0
CUST016,2023-06-04 20:20:42-05:30,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability,11,0
CUST017,2023-06-04 20:39:53-05:30,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,11,0
CUST018,2023-06-04 20:45:45-05:30,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,11,0
CUST019,2023-06-04 20:46:02-05:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness,11,0
CUST020,2023-06-04 20:48:59-05:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy,11,0
CUST021,2023-06-04 20:49:49-05:30,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,2,Yes,1,2,Competitive prices,Reducing packaging waste,11,0
CUST022,2023-06-04 20:52:49-05:30,23,Female,Once a month,Clothing and Fashion,No,Few times a month,others,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,User-friendly website/app interface,Customer service responsiveness,11,0
CUST023,2023-06-04 20:54:36-05:30,21,Male,Less than once a month,others,No,Few times a week,others,Multiple pages,1,Yes,Never,others,Never,No,Never,Sometimes,3,Sometimes,3,3,.,.,11,0
CUST024,2023-06-04 21:10:08-05:30,16,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Shipping speed and reliability,11,0
CUST025,2023-06-04 21:10:51-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,Competitive prices,Customer service responsiveness,11,0
CUST026,2023-06-04 21:18:12-05:30,24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,2,No,2,3,User-friendly website/app interface,Product quality and accuracy,11,0
CUST027,2023-06-04 21:22:58-05:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,3,Sometimes,2,2,Wide product selection,Shipping speed and reliability,11,0
CUST028,2023-06-04 21:29:59-05:30,23,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,3,Yes,3,5,Wide product selection,Reducing packaging waste,11,0
CUST029,2023-06-04 21:40:54-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,others,Often,No,Heavily,Yes,3,Sometimes,2,2,User-friendly website/app interface,Shipping speed and reliability,11,0
CUST030,2023-06-04 21:48:15-05:30,24,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,4,Yes,5,4,Competitive prices,Reducing packaging waste,11,0
CUST031,2023-06-04 22:13:28-05:30,25,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,2,Sometimes,3,4,Wide product selection,Product quality and accuracy,11,0
CUST032,2023-06-04 22:24:47-05:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,5,Maybe,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,4,No,3,4,Competitive prices,Customer service responsiveness,11,0
CUST033,2023-06-04 22:37:00-05:30,23,Female,Less than once a month,others,No,Rarely,others,First page,3,No,Never,others,Never,No,Occasionally,Sometimes,5,No,3,3,Wide product selection,Product quality and accuracy,11,0
CUST034,2023-06-04 23:09:27-05:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,2,1,Wide product selection,Reducing packaging waste,11,0
CUST035,2023-06-04 23:12:15-05:30,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Yes,1,1,Competitive prices,Customer service responsiveness,11,0
CUST036,2023-06-04 23:24:41-05:30,24,Female,Less than once a month,others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,11,0
CUST037,2023-06-04 23:27:53-05:30,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,11,0
CUST038,2023-06-04 23:38:30-05:30,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Reducing packaging waste,11,0
CUST039,2023-06-04 23:57:10-05:30,29,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Customer service responsiveness,11,0
CUST040,2023-06-05 00:02:56-05:30,19,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,3,Yes,3,5,Competitive prices,Shipping speed and reliability,11,0
CUST041,2023-06-05 00:05:20-05:30,26,Female,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,11,0
CUST042,2023-06-05 00:36:02-05:30,32,Male,Less than once a month,others,No,Rarely,Keyword,First page,1,No,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,1,No,4,1,Customer service ,Nothing,11,0
CUST043,2023-06-05 00:37:54-05:30,30,Female,Once a month,Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Yes,1,No,4,1,User-friendly website/app interface,Reducing packaging waste,11,0
CUST044,2023-06-05 00:39:14-05:30,22,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,others,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,5,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,11,0
CUST045,2023-06-05 00:57:05-05:30,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,No,2,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,11,0
CUST046,2023-06-05 02:56:10-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,11,0
CUST047,2023-06-05 04:26:25-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Always,No,Heavily,Yes,4,Yes,4,4,Wide product selection,Product quality and accuracy,11,0
CUST048,2023-06-05 07:16:40-05:30,24,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,11,0
CUST049,2023-06-05 08:43:26-05:30,23,Female,Few times a month,others,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,No,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Product quality and accuracy,11,0
CUST050,2023-06-05 09:20:17-05:30,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,No,Heavily,Yes,1,Yes,1,2,User-friendly website/app interface,Product quality and accuracy,10,0
CUST051,2023-06-05 09:56:58-05:30,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,4,3,Competitive prices,Customer service responsiveness,10,0
CUST052,2023-06-05 10:36:38-05:30,25,Male,Less than once a month,others,Sometimes,Few times a week,Keyword,First page,4,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,10,0
CUST053,2023-06-05 10:37:36-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Yes,1,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST054,2023-06-05 10:53:16-05:30,21,Female,Few times a month,Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,10,0
CUST055,2023-06-05 11:20:41-05:30,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Reducing packaging waste,10,0
CUST056,2023-06-05 11:54:52-05:30,26,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,4,Yes,2,2,Product recommendations,Shipping speed and reliability,10,0
CUST057,2023-06-05 13:10:59-05:30,23,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Sometimes,3,2,Wide product selection,Product quality and accuracy,10,0
CUST058,2023-06-05 13:27:08-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,No,3,3,Product recommendations,Reducing packaging waste,10,0
CUST059,2023-06-05 13:28:44-05:30,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,4,Sometimes,2,1,Competitive prices,Reducing packaging waste,10,0
CUST060,2023-06-05 13:32:57-05:30,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,10,0
CUST061,2023-06-05 13:35:41-05:30,24,Male,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,4,Sometimes,1,2,Wide product selection,Shipping speed and reliability,10,0
CUST062,2023-06-05 13:35:44-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy,10,0
CUST063,2023-06-05 13:37:01-05:30,24,Male,Less than once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Heavily,Yes,2,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST064,2023-06-05 13:43:00-05:30,24,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,1,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,10,0
CUST065,2023-06-05 13:45:30-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Yes,3,3,Product recommendations,Customer service responsiveness,10,0
CUST066,2023-06-05 13:54:28-05:30,26,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Yes,3,Yes,3,4,Competitive prices,Product quality and accuracy,10,0
CUST067,2023-06-05 14:10:33-05:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,2,Sometimes,3,3,Wide product selection,Product quality and accuracy,10,0
CUST068,2023-06-05 14:16:16-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,10,0
CUST069,2023-06-05 14:17:45-05:30,24,Female,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,10,0
CUST070,2023-06-05 14:21:37-05:30,23,Male,Less than once a month,others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,Never,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,better app interface and lower shipping charges,10,0
CUST071,2023-06-05 14:24:22-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,10,0
CUST072,2023-06-05 14:25:28-05:30,36,Female,Once a month,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,No,2,Sometimes,3,1,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST073,2023-06-05 14:28:10-05:30,26,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Yes,2,1,Wide product selection,Product quality and accuracy,10,0
CUST074,2023-06-05 14:46:25-05:30,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,3,1,Customer service,Reducing packaging waste,10,0
CUST075,2023-06-05 15:28:01-05:30,23,Male,Less than once a month,others,No,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Never,No,Heavily,Yes,2,No,3,2,User-friendly website/app interface,Reducing packaging waste,10,0
CUST076,2023-06-05 16:46:52-05:30,23,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Yes,2,2,Wide product selection,Product quality and accuracy,10,0
CUST077,2023-06-05 16:49:43-05:30,30,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,4,Yes,Often,Found a better price elsewhere,Always,Yes,Moderately,Yes,4,Yes,4,4,Product recommendations,Customer service responsiveness,10,0
CUST078,2023-06-05 16:50:33-05:30,24,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Product quality and accuracy,10,0
CUST079,2023-06-05 16:50:44-05:30,47,Prefer not to say,Less than once a month,others,Sometimes,Rarely,others,First page,2,Maybe,Never,Changed my mind or no longer need the item,Never,No,Never,Sometimes,2,No,2,2,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST080,2023-06-05 16:52:12-05:30,54,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,4,Yes,Always,others,Always,Yes,Heavily,Yes,5,Yes,5,5,Competitive prices,Shipping speed and reliability,10,0
CUST081,2023-06-05 18:49:25-05:30,58,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Never,No,4,No,3,3,Competitive prices,Reducing packaging waste,10,0
CUST082,2023-06-05 19:04:21-05:30,53,Female,Less than once a month,Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,2,Yes,2,1,Competitive prices,Reducing packaging waste,10,0
CUST083,2023-06-05 20:06:04-05:30,23,Prefer not to say,Once a week,Beauty and Personal Care,No,Multiple times a day,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,10,0
CUST084,2023-06-05 20:07:52-05:30,25,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Sometimes,4,Sometimes,3,3,Product recommendations,Customer service responsiveness,10,0
CUST085,2023-06-05 20:44:09-05:30,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,Yes,2,Sometimes,3,2,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST086,2023-06-05 20:46:09-05:30,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,4,Sometimes,4,4,User-friendly website/app interface,Customer service responsiveness,10,0
CUST087,2023-06-05 20:47:42-05:30,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Yes,Often,others,Always,Yes,Heavily,Yes,5,Sometimes,5,3,Competitive prices,Product quality and accuracy,10,0
CUST088,2023-06-05 20:49:12-05:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,No,Never,High shipping costs,Never,Yes,Occasionally,No,4,No,4,3,Competitive prices,Shipping speed and reliability,10,0
CUST089,2023-06-05 20:50:24-05:30,20,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,categories,First page,1,No,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,3,No,3,3,Competitive prices,Reducing packaging waste,10,0
CUST090,2023-06-05 20:52:01-05:30,25,Male,Few times a month,others,No,Rarely,others,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Sometimes,2,Sometimes,2,3,Wide product selection,Product quality and accuracy,10,0
CUST091,2023-06-05 21:56:02-05:30,55,Others,Few times a month,Groceries and Gourmet Food,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Sometimes,High shipping costs,Often,Yes,Rarely,Yes,4,Yes,3,3,Product recommendations,Customer service responsiveness,10,0
CUST092,2023-06-05 21:56:08-05:30,24,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Yes,Rarely,High shipping costs,Always,Yes,Moderately,Yes,4,Sometimes,3,4,Wide product selection,Product quality and accuracy,10,0
CUST093,2023-06-05 21:58:17-05:30,62,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Never,Sometimes,5,Yes,4,3,User-friendly website/app interface,Shipping speed and reliability,10,0
CUST094,2023-06-05 22:04:32-05:30,27,Male,Less than once a month,others,No,Rarely,others,First page,4,No,Never,others,Never,No,Never,No,5,No,5,5,Competitive prices,Customer service responsiveness,10,0
CUST095,2023-06-05 22:05:25-05:30,34,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,Yes,2,2,Wide product selection,Product quality and accuracy,10,0
CUST096,2023-06-05 22:06:15-05:30,40,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,Yes,Occasionally,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,10,0
CUST097,2023-06-05 22:06:46-05:30,22,Others,Less than once a month,others,Yes,Few times a month,categories,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Rarely,Yes,Rarely,No,3,No,3,4,User-friendly website/app interface,Reducing packaging waste,10,0
